feature_id	annot_type	auprc_mean	auprc_median	enrichment_gmean	odds_ratio	fisher_p	n_proteins	tp	fp	fn	tn
3122	Region	1.0	1.0	1.0		1.0	1	1.0	0.0	698.0	0.0
6418	Region	1.0	1.0	1.0		1.0	1	1.0	0.0	712.0	0.0
5746	Region	1.0	1.0	1.0		1.0	1	1.0	0.0	712.0	0.0
72	Region	1.0	1.0	1.0		1.0	1	1.0	0.0	712.0	0.0
1231	Region	1.0	1.0	1.0		1.0	1	1.0	0.0	687.0	0.0
3081	Domain	1.0	1.0	1.0		1.0	1	1.0	0.0	105.0	0.0
7479	Domain	0.9863953611960745	0.9863953611960745	1.0204081434053665	inf	0.9863481228668942	1	1.0	0.0	288.0	4.0
3334	Domain	0.9863953611960745	0.9863953611960745	1.0	inf	0.9863481228668942	1	1.0	0.0	288.0	4.0
1170	Topological domain	0.9824050178932021	0.9824050178932021	1.0	inf	0.9823874755381605	1	1.0	0.0	1003.0	18.0
6290	Region	0.9801424571805006	0.9801424571805006	1.0206207375659833	inf	0.9606088873812755	2	2.0	0.0	1378.0	28.0
1093	Topological domain	0.9794725822123083	0.9794725822123083	1.0101525347220421	inf	0.9202786496985148	4	4.0	0.0	4000.0	84.0
4657	Region	0.9610251330939705	0.9610251330939705	1.0204081434053665	inf	0.9609756097560975	1	1.0	0.0	787.0	32.0
5808	Region	0.9600029033897075	0.9600029033897075	1.0204081434053665	inf	0.9599332220367279	1	1.0	0.0	574.0	24.0
2344	Region	0.9600029033897075	0.9600029033897075	1.0638297899323061	inf	0.9599332220367279	1	1.0	0.0	574.0	24.0
4733	Topological domain	0.9529149865591398	0.9529149865591398	1.1627906783327278	inf	0.9528535980148883	1	1.0	0.0	767.0	38.0
3800	Topological domain	0.9500028567843515	0.951055133298124	1.0798731710403735	inf	0.8570518911397924	3	3.0	0.0	1192.0	63.0
6947	Region	0.9366687727057337	0.9366687727057337	1.0638297899323061	inf	0.9365384615384615	1	1.0	0.0	486.0	33.0
1653	Topological domain	0.934999277769753	0.934999277769753	1.1111111405455043	inf	0.9347826086956522	1	1.0	0.0	300.0	21.0
2623	Domain	0.932819722650231	0.932819722650231	1.0638297899323061	inf	0.9322033898305084	1	1.0	0.0	109.0	8.0
1531	Domain	0.925041768659906	0.925041768659906	1.0416666899497316	inf	0.9249329758713136	1	1.0	0.0	689.0	56.0
4071	Domain	0.925041768659906	0.925041768659906	1.0	inf	0.9249329758713136	1	1.0	0.0	689.0	56.0
6731	Topological domain	0.9102912912442582	0.9102912912442582	1.086956502021148	inf	0.9101917255297679	1	1.0	0.0	901.0	89.0
2877	Domain	0.9102509438378162	0.9175072109854718	1.2012576472910133	inf	0.7529933695333236	3	3.0	0.0	1954.0	194.0
3304	Domain	0.9097547625722562	0.9097547625722562	1.136363642521141	inf	0.9094076655052264	1	1.0	0.0	260.0	26.0
667	Domain	0.9097547625722562	0.9097547625722562	1.136363642521141	inf	0.9094076655052264	1	1.0	0.0	260.0	26.0
492	Domain	0.9083262827027904	0.9175072109854718	1.1669494043663553	inf	0.7482616431153188	3	3.0	0.0	1939.0	197.0
4204	Domain	0.9080413614890821	0.9123469044167145	1.1308548991646323	inf	0.6786583335699576	4	4.0	0.0	2582.0	263.0
5524	Domain	0.8973625998284653	0.8973625998284653	1.086956502021148	0.1256198347107438	0.9874909366306427	2	1.0	1.0	1210.0	152.0
1219	Domain	0.8957384095425048	0.8957384095425048	1.0416666899497316	inf	0.8955823293172691	1	1.0	0.0	668.0	78.0
5333	Domain	0.8957384095425048	0.8957384095425048	1.136363642521141	inf	0.8955823293172691	1	1.0	0.0	668.0	78.0
5502	Domain	0.8942511908844388	0.8942511908844388	1.1501092987583936	inf	0.7992689860565859	2	2.0	0.0	1112.0	132.0
2160	Domain	0.8942511908844388	0.8942511908844388	1.1113855541164774	inf	0.7992689860565859	2	2.0	0.0	1112.0	132.0
582	Domain	0.8942511908844388	0.8942511908844388	1.17851130880693	inf	0.7992689860565859	2	2.0	0.0	1112.0	132.0
656	Domain	0.8942511908844388	0.8942511908844388	1.0638297899323061	inf	0.8940609951845907	1	1.0	0.0	556.0	66.0
5135	Domain	0.8942511908844388	0.8942511908844388	1.1111111405455043	inf	0.8940609951845907	1	1.0	0.0	556.0	66.0
6030	Domain	0.8928514178399661	0.8928514178399661	1.0989674602480592	inf	0.7968710276183889	2	2.0	0.0	1321.0	159.0
2390	Domain	0.8928514178399661	0.8928514178399661	1.10216679192356	inf	0.7968710276183889	2	2.0	0.0	1321.0	159.0
7283	Domain	0.8928514178399661	0.8928514178399661	1.137539395423266	inf	0.7968710276183889	2	2.0	0.0	1321.0	159.0
7474	Domain	0.8700156314078371	0.8700156314078371	1.086956502021148	inf	0.8697749196141479	1	1.0	0.0	540.0	81.0
2186	Domain	0.8664655561870619	0.8664655561870619	1.190476227644621	inf	0.8662921348314607	1	1.0	0.0	770.0	119.0
5634	Alternative sequence	0.8613989637305699	0.8613989637305699		0.0	1.0	1	0.0	1.0	665.0	106.0
1503	Repeat	0.861364576489768	0.861364576489768	1.190476227644621	inf	0.86084142394822	1	1.0	0.0	265.0	43.0
4234	Domain	0.8504658164793417	0.8504658164793417	1.136363642521141	inf	0.850293542074364	1	1.0	0.0	868.0	153.0
5915	Region	0.8244066226720276	0.8247794167171819	1.2712772572599553	inf	0.5595500750052962	3	3.0	0.0	1815.0	388.0
7474	Disulfide bond	0.8106657990098505	0.8106657990098505	1.1111111405455043	inf	0.8102893890675241	1	1.0	0.0	503.0	118.0
7072	Domain	0.7693832005155347	0.7664434797169799	1.2957609144025883	inf	0.45476525790348743	3	3.0	0.0	2355.0	708.0
3379	Alternative sequence	0.7683981743524836	0.7683981743524836	1.3344012796696627	inf	0.5898931294200138	2	2.0	0.0	1568.0	474.0
7299	Domain	0.7664434797169799	0.7664434797169799	1.4285714528998557	inf	0.7661448140900196	1	1.0	0.0	782.0	239.0
3661	Domain	0.7645743145743146	0.7645743145743146	1.3157894901951928	inf	0.7636363636363637	1	1.0	0.0	251.0	78.0
5135	Region	0.7634528885722489	0.7634528885722489	1.190476227644621	inf	0.7630573248407643	1	1.0	0.0	598.0	186.0
4317	Region	0.7634528885722489	0.7634528885722489	1.2820513290766447	inf	0.7630573248407643	1	1.0	0.0	598.0	186.0
7990	Domain	0.7620680917860961	0.7620680917860961	1.2195122057593062	inf	0.7613882863340564	1	1.0	0.0	350.0	110.0
5708	Region	0.7605803777529954	0.7605803777529954	1.3518451577126487	inf	0.5776757483238945	2	2.0	0.0	1218.0	385.0
3942	Region	0.7605803777529954	0.7605803777529954	1.265924222639625	inf	0.5776757483238945	2	2.0	0.0	1218.0	385.0
1312	Region	0.7605803777529954	0.7605803777529954	1.251565463194799	inf	0.5776757483238945	2	2.0	0.0	1218.0	385.0
4895	Region	0.7605803777529954	0.7605803777529954	1.3363062109844446	inf	0.5776757483238945	2	2.0	0.0	1218.0	385.0
227	Region	0.7577078669337418	0.7577078669337418	1.2820513290766447	inf	0.7573170731707317	1	1.0	0.0	620.0	199.0
5289	Region	0.7577078669337418	0.7577078669337418	1.3157894901951928	inf	0.7573170731707317	1	1.0	0.0	620.0	199.0
3304	Transmembrane	0.7502957620938335	0.7502957620938335	1.3157894901951928	inf	0.7491289198606272	1	1.0	0.0	214.0	72.0
667	Transmembrane	0.7502957620938335	0.7502957620938335	1.3513513339358236	inf	0.7491289198606272	1	1.0	0.0	214.0	72.0
953	Domain	0.7493949394939494	0.7493949394939494	1.388888833699405	inf	0.7481481481481481	1	1.0	0.0	201.0	68.0
